variant,pango
x20i_alpha_v1,B.1.1.7
x20h_beta_v2,B.1.351
x20j_gamma_v3,P.1
x21a_delta,B.1.617.2
x21i_delta,
x21j_delta,
x21b_kappa,B.1.617.1
x21c_epsilon,B.1.427
x21d_eta,B.1.525
x21f_iota,B.1.526
x21g_lambda,C.37
x21h_mu,B.1.621
x21k_omicron,BA.1
x21l_omicron,BA.2
x22a_omicron,BA.4
x22b_omicron,BA.5
x22c_omicron,BA.2.12.17
x20e_eu1,B.1.177
x20b_s_732_a,B.1.1.519
x20a_s_126_a,B.1.620
x20a_eu2,B.1.160
x20a_s_439_k,B.1.258
x20a_s_98_f,R1.221
x20c_s_80_y,R1367
x20b_s_626_s,B.1.1.277
x20b_s_1122_l,B.1.1.302